Variable_name	Value
Handler_read_key	217
Handler_read_last	218
Handler_read_next	219
Handler_read_prev	220
Handler_read_rnd	221
Handler_read_rnd_next	222
Handler_rollback	223
Handler_savepoint	224
Handler_savepoint_rollback	225
Handler_update	226
Handler_write	227
Innodb_buffer_pool_dump_status	Dumping of buffer pool not started
Innodb_buffer_pool_load_status	Buffer pool(s) load completed at 210702 12:58:45
Innodb_buffer_pool_resize_status	
Innodb_buffer_pool_pages_data	228
Innodb_buffer_pool_bytes_data	229
Innodb_buffer_pool_pages_dirty	230
Innodb_buffer_pool_bytes_dirty	231
Innodb_buffer_pool_pages_flushed	232
Innodb_buffer_pool_pages_free	233
Innodb_buffer_pool_pages_misc	234
Innodb_buffer_pool_pages_total	235
Innodb_buffer_pool_read_ahead_rnd	236
Innodb_buffer_pool_read_ahead	237
Innodb_buffer_pool_read_ahead_evicted	238
Innodb_buffer_pool_read_requests	239
Innodb_buffer_pool_reads	240
Innodb_buffer_pool_wait_free	241
Innodb_buffer_pool_write_requests	242
Innodb_data_fsyncs	243
Innodb_data_pending_fsyncs	244
Innodb_data_pending_reads	245
Innodb_data_pending_writes	246
Innodb_data_read	247
Innodb_data_reads	248
Innodb_data_writes	249
Innodb_data_written	250
Innodb_dblwr_pages_written	251
Innodb_dblwr_writes	252
Innodb_log_waits	253
Innodb_log_write_requests	254
Innodb_log_writes	255
Innodb_os_log_fsyncs	256
Innodb_os_log_pending_fsyncs	257
Innodb_os_log_pending_writes	258
Innodb_os_log_written	259
Innodb_page_size	260
Innodb_pages_created	261
Innodb_pages_read	262
Innodb_pages_written	263
Innodb_redo_log_enabled	264
Innodb_row_lock_current_waits	265
Innodb_row_lock_time	266
Innodb_row_lock_time_avg	267
Innodb_row_lock_time_max	268
Innodb_row_lock_waits	269
Innodb_rows_deleted	270
Innodb_rows_inserted	271
Innodb_rows_read	272
Innodb_rows_updated	273
Innodb_system_rows_deleted	274
Innodb_system_rows_inserted	275
Innodb_system_rows_read	276
Innodb_system_rows_updated	277
Innodb_sampled_pages_read	278
Innodb_sampled_pages_skipped	279
Innodb_num_open_files	280
Innodb_truncated_status_writes	281
Innodb_undo_tablespaces_total	282
Innodb_undo_tablespaces_implicit	283
Innodb_undo_tablespaces_explicit	284
Innodb_undo_tablespaces_active	285
Key_blocks_not_flushed	286
Key_blocks_unused	287
Key_blocks_used	288
Key_read_requests	289
Key_reads	290
Key_write_requests	291
Key_writes	292
Locked_connects	293
Max_execution_time_exceeded	294
Max_execution_time_set	295
Max_execution_time_set_failed	296
Max_used_connections	297
Max_used_connections_time	2021-07-02 12:58:47
Mysqlx_aborted_clients	298
Mysqlx_address	::
Mysqlx_bytes_received	299
Mysqlx_bytes_received_compressed_payload	300
Mysqlx_bytes_received_uncompressed_frame	301
Mysqlx_bytes_sent	302
Mysqlx_bytes_sent_compressed_payload	303
Mysqlx_bytes_sent_uncompressed_frame	304
Mysqlx_compression_algorithm	
Mysqlx_compression_level	
Mysqlx_connection_accept_errors	305
Mysqlx_connection_errors	306
Mysqlx_connections_accepted	307
Mysqlx_connections_closed	308
Mysqlx_connections_rejected	309
Mysqlx_crud_create_view	310
Mysqlx_crud_delete	311
Mysqlx_crud_drop_view	312
Mysqlx_crud_find	313
Mysqlx_crud_insert	314
Mysqlx_crud_modify_view	315
Mysqlx_crud_update	316
Mysqlx_cursor_close	317
Mysqlx_cursor_fetch	318
Mysqlx_cursor_open	319
Mysqlx_errors_sent	320
Mysqlx_errors_unknown_message_type	321
Mysqlx_expect_close	322
Mysqlx_expect_open	323
Mysqlx_init_error	324
Mysqlx_messages_sent	325
Mysqlx_notice_global_sent	326
Mysqlx_notice_other_sent	327
Mysqlx_notice_warning_sent	328
Mysqlx_notified_by_group_replication	329
Mysqlx_port	330
Mysqlx_prep_deallocate	331
Mysqlx_prep_execute	332
Mysqlx_prep_prepare	333
Mysqlx_rows_sent	334
Mysqlx_sessions	335
Mysqlx_sessions_accepted	336
Mysqlx_sessions_closed	337
Mysqlx_sessions_fatal_error	338
Mysqlx_sessions_killed	339
Mysqlx_sessions_rejected	340
Mysqlx_socket	/var/run/mysqld/mysqlx.sock
Mysqlx_ssl_accepts	341
Mysqlx_ssl_active	
Mysqlx_ssl_cipher	
Mysqlx_ssl_cipher_list	
Mysqlx_ssl_ctx_verify_depth	342
Mysqlx_ssl_ctx_verify_mode	343
Mysqlx_ssl_finished_accepts	344
Mysqlx_ssl_server_not_after	Jun 30 12:58:27 2031 GMT
Mysqlx_ssl_server_not_before	Jul  2 12:58:27 2021 GMT
Mysqlx_ssl_verify_depth	
Mysqlx_ssl_verify_mode	
Mysqlx_ssl_version	
Mysqlx_stmt_create_collection	345
Mysqlx_stmt_create_collection_index	347
Mysqlx_stmt_disable_notices	348
Mysqlx_stmt_drop_collection	349
Mysqlx_stmt_drop_collection_index	350
Mysqlx_stmt_enable_notices	351
Mysqlx_stmt_ensure_collection	352
Mysqlx_stmt_execute_mysqlx	353
Mysqlx_stmt_execute_sql	354
Mysqlx_stmt_execute_xplugin	355
Mysqlx_stmt_get_collection_options	356
Mysqlx_stmt_kill_client	357
Mysqlx_stmt_list_clients	358
Mysqlx_stmt_list_notices	359
Mysqlx_stmt_list_objects	360
Mysqlx_stmt_modify_collection_options	361
Mysqlx_stmt_ping	362
Mysqlx_worker_threads	363
Mysqlx_worker_threads_active	364
Not_flushed_delayed_rows	365
Ongoing_anonymous_transaction_count	366
Open_files	367
Open_streams	368
Open_table_definitions	369
Open_tables	370
Opened_files	371
Opened_table_definitions	372
Opened_tables	373
Performance_schema_accounts_lost	374
Performance_schema_cond_classes_lost	375
Performance_schema_cond_instances_lost	376
Performance_schema_digest_lost	377
Performance_schema_file_classes_lost	378
Performance_schema_file_handles_lost	379
Performance_schema_file_instances_lost	380
Performance_schema_hosts_lost	381
Performance_schema_index_stat_lost	382
Performance_schema_locker_lost	383
Performance_schema_memory_classes_lost	384
Performance_schema_metadata_lock_lost	385
Performance_schema_mutex_classes_lost	386
Performance_schema_mutex_instances_lost	387
Performance_schema_nested_statement_lost	388
Performance_schema_prepared_statements_lost	389
Performance_schema_program_lost	390
Performance_schema_rwlock_classes_lost	391
Performance_schema_rwlock_instances_lost	392
Performance_schema_session_connect_attrs_longest_seen	393
Performance_schema_session_connect_attrs_lost	394
Performance_schema_socket_classes_lost	395
Performance_schema_socket_instances_lost	396
Performance_schema_stage_classes_lost	397
Performance_schema_statement_classes_lost	398
Performance_schema_table_handles_lost	399
Performance_schema_table_instances_lost	400
Performance_schema_table_lock_stat_lost	401
Performance_schema_thread_classes_lost	402
Performance_schema_thread_instances_lost	403
Performance_schema_users_lost	404
Prepared_stmt_count	405
Queries	406
Questions	407
Select_full_join	408
Select_full_range_join	409
Select_range	410
Select_range_check	411
Select_scan	412
Slave_open_temp_tables	413
Slow_launch_threads	414
Slow_queries	415
Sort_merge_passes	416
Sort_range	417
Sort_rows	418
Sort_scan	419
Ssl_accept_renegotiates	420
Ssl_accepts	421
Ssl_callback_cache_hits	422
Ssl_cipher	423
Ssl_cipher_list	
Ssl_client_connects	424
Ssl_connect_renegotiates	425
Ssl_ctx_verify_depth	426
Ssl_ctx_verify_mode	427
Ssl_default_timeout	428
Ssl_finished_accepts	429
Ssl_finished_connects	430
Ssl_server_not_after	Jun 30 12:58:27 2031 GMT
Ssl_server_not_before	Jul  2 12:58:27 2021 GMT
Ssl_session_cache_hits	431
Ssl_session_cache_misses	432
Ssl_session_cache_mode	SERVER
Ssl_session_cache_overflows	433
Ssl_session_cache_size	434
Ssl_session_cache_timeouts	435
Ssl_sessions_reused	436
Ssl_used_session_cache_entries	437
Ssl_verify_depth	438
Ssl_verify_mode	439
Ssl_version	
Table_locks_immediate	440
Table_locks_waited	441
Table_open_cache_hits	442
Table_open_cache_misses	443
Table_open_cache_overflows	444
Tc_log_max_pages_used	445
Tc_log_page_size	446
Tc_log_page_waits	447
Threads_cached	448
Threads_connected	449
Threads_created	450
Threads_running	451
Uptime	452
Uptime_since_flush_status	453
